# Constructed from biom file
#OTU ID	WT.day3.14	WT.day3.15	WT.unt.4	WT.unt.2	WT.unt.1	WT.unt.3	WT.unt.7	WT.day3.11	WT.day3.9	WT.day3.13
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;Other;Other;Other	0.0006421782686873876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__;s__	0.0006421782686873876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__	0.002183406113537118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Sutterella;s__	0.0	0.0024402774210120727	0.003981505265861804	0.011173901875160545	0.006935525301823787	0.023246853326483432	0.004752119188286669	0.10750064217826868	0.12214230670434112	0.001284356537374775
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__;s__	0.0	0.0	0.0017980991523246853	0.0005137426149499101	0.002183406113537118	0.0003853069612124326	0.0003853069612124326	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__	0.0	0.0	0.008605188800410994	0.0061649113793989215	0.0062933470331363985	0.004623683534549191	0.008733624454148471	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;Other;Other;Other;Other	0.0	0.0005137426149499101	0.0	0.0	0.0	0.0	0.0	0.00012843565373747752	0.0	0.00038530696121243254
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;Other;Other	0.0011559208836372978	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.00025687130747495504	0.0	0.00012843565373747752
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__;s__	0.38736193167223243	0.6360133573079885	0.0006421782686873876	0.0	0.0	0.00012843565373747752	0.00012843565373747752	0.16170048805548431	0.04687901361417929	0.2259183149242231
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__;s__	0.00012843565373747752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00012843565373747752
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	0.0007706139224248651	0.0006421782686873876	0.0	0.0	0.0	0.0	0.0	0.0011559208836372976	0.0	0.00025687130747495504
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__nitroreducens	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;Other	0.00025687130747495504	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__TM7;c__TM7-3;o__CW040;f__F16;g__;s__	0.0	0.0	0.0044952478808117135	0.002440277421012073	0.004880554842024146	0.005779604418186489	0.007706139224248652	0.0	0.0	0.0
k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39;f__;g__;s__	0.0	0.0	0.00038530696121243254	0.0006421782686873876	0.0005137426149499101	0.005008990495761623	0.0005137426149499101	0.0	0.0	0.0
k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila	0.0	0.0	0.0019265348060621627	0.00025687130747495504	0.0035961983046493705	0.0006421782686873876	0.008733624454148471	0.0	0.0	0.0
